# Diccionario ingles-espanol ordenado por frecuencia de uso.
# Formato: rank|en|lemma|pos|es|es_alt|cefr|hint
# Frecuencia: OpenSubtitles 2018. Traducciones: Wiktionary (CC BY-SA).
1|you|you|pron|tú|usted;vosotros;ustedes|A1|-
2|i|i|pron|yo|-|A1|-
3|the|the|det|el|la;los;las|A1|-
4|to|to|prep|a|hacia;para|A1|direction or recipient
5|a|a|det|un|una|A1|-
6|it|it|pron|ello|lo;eso|A1|nonhuman subject
7|and|and|conj|y|e|A1|-
8|that|that|det|ese|esa;eso|A1|pointing at something
9|of|of|prep|de|-|A1|belonging or origin
11|in|in|prep|en|dentro de|A1|inside something
12|what|what|pron|qué|cuál|A1|asking for information
13|we|we|pron|nosotros|nosotras|A1|-
15|this|this|det|este|esta;esto|A1|near the speaker
16|he|he|pron|él|-|A1|-
17|for|for|prep|para|por|A1|purpose or recipient
18|my|my|det|mi|mis|A1|-
19|on|on|prep|en|sobre|A1|surface or position
20|have|have|verb|tener|haber|A1|possession or auxiliary
21|your|your|det|tu|tus;su;sus|A1|-
22|do|do|verb|hacer|realizar|A1|perform an action
24|no|no|det|ningún|ninguna|A1|before a noun
25|not|not|adv|no|-|A1|negation
26|be|be|verb|ser|estar|A1|-
28|don|don|noun|catedrático|profesor|A1|university professor
29|know|know|verb|saber|conocer|A1|have knowledge
30|can|can|verb|poder|saber|A1|ability or possibility
31|with|with|prep|con|-|A1|-
32|but|but|conj|pero|sino|A1|-
33|all|all|det|todo|toda;todos;todas|A1|entire amount
34|so|so|adv|así|tan;entonces|A1|manner or degree
35|just|just|adv|solo|justo;acabar de|A1|merely
36|there|there|adv|allí|ahí|A1|place away
37|here|here|adv|aquí|acá|A1|-
38|they|they|pron|ellos|ellas|A1|-
39|like|like|verb|gustar|agradar|A1|enjoy something
40|get|get|verb|conseguir|obtener;recibir|A1|obtain something
41|she|she|pron|ella|-|A1|-
42|go|go|verb|ir|marcharse|A1|-
43|if|if|conj|si|-|A1|condition
44|right|right|adj|correcto|adecuado;cierto|A1|not wrong
45|out|out|adv|fuera|afuera|A1|not inside
46|about|about|prep|sobre|acerca de|A1|concerning a topic
47|up|up|adv|arriba|hacia arriba|A1|higher position
48|at|at|prep|en|a|A1|specific place
50|now|now|adv|ahora|ya|A1|-
52|one|one|num|uno|una|A1|-
53|come|come|verb|venir|llegar|A1|move toward speaker
54|well|well|adv|bien|-|A1|in a good way
56|how|how|adv|cómo|-|A1|asking about manner
57|yeah|yeah|adv|sí|-|A1|yes
58|will|will|verb|ir a|-|A1|future auxiliary
60|want|want|verb|querer|desear|A1|-
61|think|think|verb|pensar|creer|A1|use your mind
62|as|as|conj|como|mientras;cuando|A2|comparison or role
63|see|see|verb|ver|entender|A1|use your eyes
65|good|good|adj|bueno|bien|A1|positive quality
66|who|who|pron|quién|quienes|A1|asking about person
67|why|why|adv|por qué|-|A1|asking for reason
68|from|from|prep|de|desde|A1|origin or source
69|let|let|verb|dejar|permitir|A1|allow something
70|his|his|det|su|sus|A1|male possessor
71|yes|yes|interj|sí|-|A1|affirmative response
72|when|when|adv|cuándo|cuando|A1|asking about time
74|time|time|noun|tiempo|hora;vez|A1|duration or occasion
76|okay|okay|interj|vale|bien;de acuerdo|A1|agreement or acceptance
77|back|back|adv|atrás|de vuelta|A1|returning direction
78|look|look|verb|mirar|parecer|A1|direct your eyes
82|where|where|adv|dónde|donde|A1|asking about place
84|take|take|verb|tomar|llevar;coger|A1|receive or carry
85|then|then|adv|entonces|luego|A1|at that time
87|or|or|conj|o|u|A1|-
89|our|our|det|nuestro|nuestra;nuestros;nuestras|A1|-
91|tell|tell|verb|decir|contar|A1|give information
92|really|really|adv|realmente|de verdad;muy|A1|emphasis or truth
93|man|man|noun|hombre|señor|A1|adult male
94|some|some|det|algún|alguna;algunos;algunas|A1|unspecified amount
95|say|say|verb|decir|afirmar|A1|speak words
96|hey|hey|interj|¡eh!|-|A1|-
99|by|by|prep|por|junto a|A1|agent or means
100|need|need|verb|necesitar|requerir|A1|-
101|something|something|pron|algo|-|A1|-
103|too|too|adv|también|demasiado|A1|also or excessively
104|more|more|adv|más|-|A1|greater amount
105|way|way|noun|manera|camino;forma|A1|method or route
106|down|down|adv|abajo|hacia abajo|A1|lower position
107|make|make|verb|hacer|fabricar;crear|A1|create or produce
108|very|very|adv|muy|-|A1|high degree
109|never|never|adv|nunca|jamás|A1|-
110|only|only|adv|solo|solamente|A1|nothing else
112|over|over|prep|sobre|encima de;por|A1|above something
113|because|because|conj|porque|-|A1|giving a reason
114|little|little|adj|pequeño|poco|A1|small in size
115|please|please|interj|por favor|-|A1|polite request
116|love|love|verb|amar|querer;encantar|A1|strong affection
117|should|shall|verb|deber|tener que|A1|advice or obligation
118|mean|mean|verb|significar|querer decir|A1|have a meaning
120|sorry|sorry|adj|lo siento|perdon;arrepentido|A1|apology or regret
121|give|give|verb|dar|entregar|A1|-
122|off|off|adv|apagado|fuera|A1|not operating
124|thank|thank|verb|agradecer|dar gracias|A1|express gratitude
125|any|any|det|algún|cualquier;ningún|A1|unspecified quantity
126|two|two|num|dos|-|A1|-
127|even|even|adv|incluso|hasta|A1|emphasis on surprise
128|much|much|adv|mucho|-|A1|large degree
130|sure|sure|adj|seguro|cierto|A1|certain or confident
131|thing|thing|noun|cosa|objeto|A1|-
133|help|help|verb|ayudar|socorrer|A1|-
134|first|first|adj|primero|primer|A1|before all others
135|into|into|prep|dentro de|en|A1|movement inward
136|anything|anything|pron|cualquier cosa|algo;nada|A1|unspecified thing
137|still|still|adv|todavía|aún|A1|continuing until now
138|find|find|verb|encontrar|hallar|A1|discover or locate
139|life|life|noun|vida|-|A1|-
140|nothing|nothing|pron|nada|-|A1|-
141|sir|sir|noun|señor|caballero|A1|respectful male address
142|day|day|noun|día|jornada|A1|-
143|god|god|noun|dios|deidad|A1|divine being
144|work|work|verb|trabajar|funcionar|A1|do a job
145|their|their|det|su|sus|A1|belonging to them
147|again|again|adv|otra vez|de nuevo|A1|-
148|maybe|maybe|adv|quizá|quizás;tal vez|A1|-
149|must|must|verb|deber|tener que|A1|strong obligation
150|before|before|prep|antes de|delante de|A1|earlier than
151|other|other|adj|otro|otra;otros|A1|different or additional
152|wait|wait|verb|esperar|aguardar|A1|remain until something
153|stop|stop|verb|parar|detener;dejar de|A1|cease an action
154|call|call|verb|llamar|telefonear|A1|contact or name
155|after|after|prep|después de|tras|A1|later than
157|talk|talk|verb|hablar|conversar|A1|-
158|away|away|adv|lejos|fuera|A1|at a distance
159|than|than|conj|que|-|A1|used in comparison
161|home|home|noun|casa|hogar|A1|place you live
162|night|night|noun|noche|-|A1|-
163|put|put|verb|poner|colocar|A1|place something
164|great|great|adj|genial|excelente;grande|A1|very good
166|last|last|adj|último|pasado|A1|final in order
168|everything|everything|pron|todo|-|A1|all things
170|new|new|adj|nuevo|reciente|A1|-
172|always|always|adv|siempre|-|A1|-
173|keep|keep|verb|mantener|guardar;seguir|A1|continue or retain
174|long|long|adj|largo|prolongado|A1|great length
176|leave|leave|verb|dejar|irse;marcharse|A1|go away or abandon
178|money|money|noun|dinero|-|A1|-
179|around|around|adv|alrededor|por ahí|A1|surrounding area
181|name|name|noun|nombre|-|A1|-
182|place|place|noun|lugar|sitio|A1|location
183|ever|ever|adv|alguna vez|jamás|A1|at any time
184|feel|feel|verb|sentir|sentirse;palpar|A1|experience emotion
